order,family,Genus,species,mass.g.,gestation.mo.,newborn.g.,weaning.mo.,wean,refs
Carnivora,Felidae,Uncia,uncia,45625,3.28,463.45,2.54,7500,
Carnivora,Herpestidae,Atilax,paludinosus,3300,2.49,100.23,1.43,631.85,
Carnivora,Herpestidae,Bdeogale,crassicauda,1570,-999,-999,-999,-999,
Carnivora,Herpestidae,Crossarchus,obscurus,727,2.25,-999,0.75,-999,
Carnivora,Herpestidae,Cynictis,penicillata,598.5,1.84,-999,2,-999,
Carnivora,Herpestidae,Galerella,pulverulenta,683,2,-999,1.92,-999,
Carnivora,Herpestidae,Galerella,sanguinea,448,2,-999,1.73,-999,
Carnivora,Herpestidae,Galidia,elegans,800,2.61,50,1.94,183,
Carnivora,Herpestidae,Galidictis,fasciata,-999,-999,-999,-999,-999,
Carnivora,Herpestidae,Helogale,parvula,274.8,1.8,-999,-999,-999,
Carnivora,Herpestidae,Herpestes,javanicus,800,1.62,25.92,1.65,275,
Carnivora,Herpestidae,Herpestes,edwardsii,1008,1.98,-999,-999,-999,
Carnivora,Herpestidae,Herpestes,ichneumon,2920,2.39,-999,2,800,
Carnivora,Herpestidae,Ichneumia,albicauda,3150,-999,-999,9,-999,
Carnivora,Herpestidae,Mungos,mungo,1331.5,2.02,22.1,-999,-999,
Carnivora,Herpestidae,Mungotictis,decemlineata,700,3.27,50,1.29,-999,
Carnivora,Herpestidae,Paracynictis,selousi,1800,-999,-999,-999,-999,
Carnivora,Herpestidae,Suricata,suricatta,776,2.57,31.33,1.44,212.75,
Carnivora,Hyaenidae,Crocuta,crocuta,63000,3.45,1353.33,10.57,14500,
Carnivora,Hyaenidae,Hyaena,hyaena,40000,3.01,669.5,9.17,-999,
Carnivora,Hyaenidae,Parahyaena,brunnea,60200,3.08,727.28,7.67,27400,
Carnivora,Hyaenidae,Proteles,cristatus,10000,2.9,-999,3.52,-999,
Carnivora,Mustelidae,Amblonyx,cinereus,3000,2.07,57,2.67,-999,
Carnivora,Mustelidae,Aonyx,congicus,24000,-999,-999,-999,-999,
Carnivora,Mustelidae,Aonyx,capensis,11800,2.1,1050,1.75,3360,
Carnivora,Mustelidae,Arctonyx,collaris,10500,1.5,58,3.42,-999,
Carnivora,Mustelidae,Conepatus,leuconotus,3500,-999,-999,-999,-999,
